Time,U,V,W,U_Avg,V_Avg,W_Avg,U-U_Avg,V-V_Avg,W-W_Avg,Octant,,Octant Id,1,-1,2,-2,3,-3,4,-4
0.0,32.8,5.97,3.08,27.306533535047905,0.0483304757102034,0.10757774415868215,5.493466464952093,5.921669524289796,2.972422255841318,1.0,,Overall Count,2610.0,4603.0,4855.0,2798.0,24.0,2784.0,2769.0,4778.0
0.01,30.57,5.56,0.8,,,,3.2634664649520957,5.511669524289796,0.6924222558413179,1.0,User Input,mod 5000,,,,,,,,
0.02,29.1,3.36,-1.29,,,,1.7934664649520968,3.3116695242897967,-1.3975777441586823,-1.0,,0-4999,414.0,688.0,815.0,488.0,4.0,611.0,419.0,720.0
0.03,27.63,1.16,-1.85,,,,0.3234664649520944,1.1116695242897965,-1.9575777441586824,-1.0,,5000-9999,380.0,757.0,820.0,516.0,4.0,530.0,444.0,776.0
0.04,26.24,-2.32,-0.75,,,,-1.0665335350479062,-2.368330475710203,-0.8575777441586822,-3.0,,10000-14999,621.0,1016.0,599.0,372.0,4.0,328.0,536.0,988.0
0.05,26.13,-0.37,-0.45,,,,-1.1765335350479056,-0.4183304757102034,-0.5575777441586822,-3.0,,15000-19999,366.0,682.0,948.0,512.0,4.0,483.0,478.0,654.0
0.06,26.03,1.56,-0.15,,,,-1.2765335350479035,1.5116695242897966,-0.2575777441586822,-2.0,,20000-24999,455.0,743.0,880.0,512.0,4.0,467.0,414.0,718.0
0.07,28.9,0.31,0.06,,,,1.593466464952094,0.2616695242897966,-0.047577744158682156,-1.0,,25000-29744,374.0,717.0,793.0,398.0,4.0,365.0,478.0,922.0
0.08,29.17,1.97,0.17,,,,1.8634664649520971,1.9216695242897965,0.06242225584131786,1.0,,,,,,,,,,
0.09,30.42,3.9,-1.38,,,,3.113466464952097,3.8516695242897967,-1.4875777441586822,-1.0,,,,,,,,,,
0.1,31.67,2.93,-0.6,,,,4.363466464952097,2.881669524289797,-0.7075777441586821,-1.0,,,,,,,,,,
0.11,29.73,2.16,-0.82,,,,2.423466464952096,2.111669524289797,-0.9275777441586821,-1.0,,,,,,,,,,
0.12,30.75,4.27,-1.68,,,,3.4434664649520954,4.221669524289796,-1.787577744158682,-1.0,,,,,,,,,,
0.13,31.79,3.21,-1.25,,,,4.4834664649520946,3.1616695242897968,-1.3575777441586823,-1.0,,,,,,,,,,
0.14,25.15,3.4,-1.59,,,,-2.156533535047906,3.3516695242897967,-1.6975777441586821,-2.0,,,,,,,,,,
0.15,24.13,0.68,0.15,,,,-3.1765335350479056,0.6316695242897966,0.04242225584131784,2.0,,,,,,,,,,
0.16,23.11,2.04,-0.72,,,,-4.196533535047905,1.9916695242897966,-0.8275777441586821,-2.0,,,,,,,,,,
0.17,25.55,3.31,1.45,,,,-1.7565335350479039,3.261669524289797,1.342422255841318,2.0,,,,,,,,,,
0.18,25.61,2.18,2.04,,,,-1.6965335350479052,2.131669524289797,1.9324222558413178,2.0,,,,,,,,,,
0.19,25.02,2.1,2.09,,,,-2.286533535047905,2.051669524289797,1.9824222558413176,2.0,,,,,,,,,,
0.2,26.94,0.21,2.22,,,,-0.3665335350479033,0.16166952428979658,2.112422255841318,2.0,,,,,,,,,,
0.21,27.21,0.24,1.65,,,,-0.09653353504790374,0.19166952428979658,1.5424222558413176,2.0,,,,,,,,,,
0.22,29.4,-0.34,0.46,,,,2.093466464952094,-0.3883304757102034,0.35242225584131787,4.0,,,,,,,,,,
0.23,30.5,-1.76,1.31,,,,3.1934664649520954,-1.8083304757102034,1.2024222558413178,4.0,,,,,,,,,,
0.24,29.03,2.61,0.12,,,,1.7234664649520965,2.5616695242897967,0.012422255841317842,1.0,,,,,,,,,,
0.25,25.83,-0.88,0.74,,,,-1.4765335350479063,-0.9283304757102034,0.6324222558413178,3.0,,,,,,,,,,
0.26,25.18,3.31,0.19,,,,-2.126533535047905,3.261669524289797,0.08242225584131785,2.0,,,,,,,,,,
0.27,24.95,0.24,1.11,,,,-2.3565335350479053,0.19166952428979658,1.002422255841318,2.0,,,,,,,,,,
0.28,29.98,0.97,2.08,,,,2.673466464952096,0.9216695242897965,1.9724222558413178,1.0,,,,,,,,,,
0.29,27.98,0.13,2.22,,,,0.6734664649520958,0.0816695242897966,2.112422255841318,1.0,,,,,,,,,,
0.3,25.99,-0.7,2.37,,,,-1.3165335350479062,-0.7483304757102034,2.262422255841318,3.0,,,,,,,,,,
0.31,26.32,1.9,2.65,,,,-0.9865335350479043,1.8516695242897965,2.5424222558413176,2.0,,,,,,,,,,
0.32,22.4,3.31,3.04,,,,-4.906533535047906,3.261669524289797,2.9324222558413178,2.0,,,,,,,,,,
0.33,25.42,4.63,3.38,,,,-1.8865335350479029,4.581669524289796,3.2724222558413176,2.0,,,,,,,,,,
0.34,28.18,3.28,3.22,,,,0.8734664649520951,3.2316695242897966,3.112422255841318,1.0,,,,,,,,,,
0.35,30.46,1.44,3.29,,,,3.1534664649520963,1.3916695242897965,3.1824222558413178,1.0,,,,,,,,,,
0.36,29.13,2.49,3.67,,,,1.8234664649520944,2.441669524289797,3.5624222558413177,1.0,,,,,,,,,,
0.37,29.67,0.97,3.89,,,,2.363466464952097,0.9216695242897965,3.782422255841318,1.0,,,,,,,,,,
0.38,29.82,2.3,4.04,,,,2.5134664649520957,2.2516695242897966,3.9324222558413178,1.0,,,,,,,,,,
0.39,29.98,3.64,3.9,,,,2.673466464952096,3.591669524289797,3.7924222558413176,1.0,,,,,,,,,,
0.4,30.52,5.57,3.06,,,,3.213466464952095,5.521669524289797,2.952422255841318,1.0,,,,,,,,,,
0.41,27.11,5.68,2.22,,,,-0.19653353504790516,5.631669524289796,2.112422255841318,2.0,,,,,,,,,,
0.42,25.58,4.88,0.86,,,,-1.7265335350479063,4.831669524289796,0.7524222558413178,2.0,,,,,,,,,,
0.43,24.05,4.08,-0.49,,,,-3.256533535047904,4.031669524289796,-0.5975777441586821,-2.0,,,,,,,,,,
0.44,21.61,2.05,0.27,,,,-5.696533535047905,2.0016695242897966,0.16242225584131786,2.0,,,,,,,,,,
0.45,23.81,0.03,1.32,,,,-3.496533535047906,-0.018330475710203402,1.212422255841318,3.0,,,,,,,,,,
0.46,25.44,-0.41,1.81,,,,-1.8665335350479033,-0.45833047571020336,1.7024222558413178,3.0,,,,,,,,,,
0.47,21.88,0.68,2.12,,,,-5.426533535047906,0.6316695242897966,2.012422255841318,2.0,,,,,,,,,,
0.48,22.72,-1.25,2.64,,,,-4.586533535047906,-1.2983304757102034,2.532422255841318,3.0,,,,,,,,,,
0.49,24.68,-3.95,2.4,,,,-2.626533535047905,-3.9983304757102034,2.2924222558413176,3.0,,,,,,,,,,
0.5,23.16,-1.36,2.16,,,,-4.1465335350479045,-1.4083304757102035,2.052422255841318,3.0,,,,,,,,,,
0.51,25.0,-1.35,2.01,,,,-2.3065335350479046,-1.3983304757102035,1.9024222558413175,3.0,,,,,,,,,,
0.52,25.38,-0.85,1.86,,,,-1.9265335350479056,-0.8983304757102034,1.752422255841318,3.0,,,,,,,,,,
0.53,24.04,-1.26,1.7,,,,-3.2665335350479054,-1.3083304757102034,1.592422255841318,3.0,,,,,,,,,,
0.54,26.3,0.23,0.93,,,,-1.0065335350479039,0.1816695242897966,0.8224222558413179,2.0,,,,,,,,,,
0.55,25.81,-1.22,0.15,,,,-1.4965335350479059,-1.2683304757102034,0.04242225584131784,3.0,,,,,,,,,,
0.56,25.33,-2.67,-0.63,,,,-1.9765335350479063,-2.718330475710203,-0.7375777441586822,-3.0,,,,,,,,,,
0.57,25.13,-2.03,-0.99,,,,-2.1765335350479056,-2.078330475710203,-1.097577744158682,-3.0,,,,,,,,,,
0.58,25.49,-4.72,-0.93,,,,-1.8165335350479062,-4.768330475710203,-1.0375777441586822,-3.0,,,,,,,,,,
0.59,22.92,-4.17,-1.05,,,,-4.386533535047903,-4.218330475710204,-1.157577744158682,-3.0,,,,,,,,,,
0.6,21.27,-3.64,-1.35,,,,-6.036533535047905,-3.6883304757102033,-1.4575777441586824,-3.0,,,,,,,,,,
0.61,24.6,-3.64,-0.51,,,,-2.706533535047903,-3.6883304757102033,-0.6175777441586822,-3.0,,,,,,,,,,
0.62,26.67,-3.13,-0.97,,,,-0.6365335350479029,-3.178330475710203,-1.077577744158682,-3.0,,,,,,,,,,
0.63,24.7,-2.63,-1.15,,,,-2.6065335350479053,-2.678330475710203,-1.2575777441586822,-3.0,,,,,,,,,,
0.64,22.73,-3.86,-0.43,,,,-4.576533535047904,-3.908330475710203,-0.5375777441586822,-3.0,,,,,,,,,,
0.65,22.57,1.04,0.51,,,,-4.736533535047904,0.9916695242897966,0.40242225584131786,2.0,,,,,,,,,,
0.66,23.49,1.87,1.09,,,,-3.816533535047906,1.8216695242897967,0.9824222558413179,2.0,,,,,,,,,,
0.67,24.42,2.41,1.07,,,,-2.886533535047903,2.361669524289797,0.9624222558413179,2.0,,,,,,,,,,
0.68,24.13,2.22,0.87,,,,-3.1765335350479056,2.171669524289797,0.7624222558413178,2.0,,,,,,,,,,
0.69,26.37,2.03,0.1,,,,-0.9365335350479036,1.9816695242897964,-0.007577744158682148,-2.0,,,,,,,,,,
0.7,27.3,4.05,-0.34,,,,-0.006533535047903882,4.001669524289796,-0.4475777441586822,-2.0,,,,,,,,,,
0.71,21.96,2.23,0.43,,,,-5.346533535047904,2.1816695242897968,0.32242225584131784,2.0,,,,,,,,,,
